0.39,0.46,2.0142
0.97,0.82,7.9813
0.74,0.32,6.7353
0.23,0.69,1.0043
0.35,0.73,1.377
0.26,0.95,0.91434
0.71,0.47,5.1845
0.94,0.91,6.6903
0.78,0.3,7.6734
0.59,0.12,5.1155
0.07,0.06,1.2878
0.61,0.36,4.2658
0.31,0.74,1.1513
0.11,0.79,0.58091
0.07,0.73,0.64194
0.87,0.09,12.413
0.54,0.64,2.6835
0.03,0.29,0.79196
0.62,0.49,3.8898
0.85,0.81,5.728
0.91,1,5.5812
0.93,0.59,9.038
0.85,0.87,5.3761
0.08,0.37,0.96991
0,0.16,0.83615
0.85,0.56,7.317
0.86,0.23,10.484
0.57,0.27,4.2012
0.02,0.71,0.51626
0.47,0.04,3.8826
1,0.78,9.1727
0.56,0.04,5.2143
0.89,0.37,9.8961
0.89,0.57,8.1726
0.38,0.89,1.2198
0.48,0.97,1.6558
0.68,0.98,3.0038
0.95,0.22,13.89
0.07,0.81,0.53255
0.91,0.1,13.833
0.03,0.7,0.56813
0.49,0.96,1.7362
0.67,0.33,5.2768
0.25,0.4,1.3883
0.53,0.75,2.382
0.03,0.79,0.49426
0.07,0.92,0.47319
0.39,0.47,2.0572
0.66,0.14,6.3267
0.16,0.07,1.5096
0.8,0.05,10.619
0.77,0.99,3.6719
0.34,0.29,1.939
0.42,0.3,2.702
0.95,0.91,6.9036
0.3,0.22,2.0598
0.68,0.22,6.1433
0.88,0.28,10.616
0.78,0.43,6.7817
0.39,0.34,2.1511
0.63,0.9,2.6964
0.62,0.17,5.363
0,0.42,0.79022
0.78,0.96,4.0006
0.14,0.63,0.85475
0.59,0.08,5.3555
0.23,0.11,1.761
0.81,0.77,5.2821
0.94,0.48,10.371
0.89,0.2,11.789
0.47,0.2,3.3742
0.79,0.3,7.9465
0.02,0.32,0.73168
0.08,0.3,1.0192
0.6,0.47,3.7854
0.06,0.14,1.051
0.53,0.71,2.3091
0.25,0.3,1.6214
0.45,0.64,2.022
0.71,0.61,4.6407
0.22,0.16,1.6711
0.91,0.18,12.812
0.09,0.82,0.56917
0.31,0.77,1.3139
0.2,0.41,1.1463
0.53,0.83,2.1193
0.7,0.27,6.3626
0.58,0.68,2.8222
0.43,0.75,1.7243
0.99,0.44,12.536
0.71,0.9,3.4636
0.41,0.2,2.7877
0.53,0.95,1.8662
0.97,0.81,8.1197
0.11,0.17,1.1427
0.28,0.31,1.6031
0.91,0.54,8.9816
0.09,0.13,1.0719
0.53,0.7,2.4605
0.24,0.11,1.8955
0.2,0.18,1.5037
0.52,0.42,3.1814
0.38,0.35,2.2128
0.21,0.39,1.1813
0.26,1,0.87175
0.7,0.71,3.9552
0.92,0.03,15.249
0.67,0.56,4.2597
0.91,0.58,8.5413
0.12,0.34,1.0398
0.89,0.43,9.4382
0.35,0.3,2.1817
0.8,0.6,5.9992
0.02,0.15,0.89636
0.78,0.29,7.7594
0.36,0.21,2.3826
0.32,0.97,0.99354
0.1,0.2,1.0226
0.72,0.68,4.3322
0.36,0.55,1.7709
0.61,0.74,2.9297
0.29,0.8,1.1301
0.45,0.35,2.6955
0.41,0.33,2.4084
0.84,0.96,4.6384
0.41,0.18,2.8572
0.75,0.5,5.7511
0.2,0.44,1.2214
0.91,0.55,8.8699
0.73,0.67,4.5663
0.31,0.31,1.8685
0.73,0.14,7.7967
0.92,0.92,6.2966
0.62,0.3,4.7918
0.5,0.08,4.1489
0.09,0.8,0.52024
0.61,0.38,4.2145
0.7,0.51,4.8782
0.51,0.76,2.1825
0.95,0.68,8.8666
0.22,0.53,1.156
0.63,0.66,3.3992
0.38,0.64,1.5661
0.41,0.48,2.1949
0.57,0.78,2.5337
0.72,0.99,3.2287
0.59,0.43,3.8391
0.12,0.87,0.62951
0.15,0.69,0.84476
0.12,0.56,0.78216
0.95,0.92,6.9942
0.48,0.79,1.9202
0.2,0.58,1.073
0.69,0.31,5.8828
0.61,0.12,5.6185
0.93,0.11,14.691
0.12,0.09,1.2556
0.62,0.34,4.6091
0.66,0.86,3.1075
0.62,0.67,3.2378
0.98,0.4,12.746
1,0.69,10.114
0.37,0.26,2.3414
0.84,0.56,7.0959
0.11,0.07,1.361
0.9,0.89,6.1636
0.39,0.55,1.9092
0.75,0.24,7.4521
0.18,0.26,1.3471
0.74,0.43,5.8352
0.19,0.07,1.6117
0.48,0.33,3.0262
0.34,0.45,1.7555
0.08,0.48,0.87718
0.84,0.48,7.7241
0.96,0.66,9.1356
0.09,0.47,0.87298
0.79,0.11,9.6059
0.86,0.77,6.1089
0.95,0.95,6.7196
0.76,0.86,4.2433
0.56,0.81,2.5298
0.1,0.51,0.80063
0.45,0.18,3.2848
0.48,0.59,2.2424
0,0.88,0.43441
0.27,0.09,2.151
0.79,0.72,5.2954
0.59,0.27,4.5668
0.11,0.55,0.71949
0.63,0.58,3.7108
0.21,0.15,1.5474
0.96,0.55,10.379
0.44,0.34,2.7378
0.3,0.18,1.9667
0.33,0.83,1.2545
0.67,0.35,5.2593
0.21,0.72,0.83579
0.21,0.09,1.7209
0.52,0.56,2.7067
0.22,0.44,1.2037
0.66,0.39,4.8754
0.83,0.53,7.0701
0.79,0.12,9.5004
0.71,0.94,3.2429
0.28,0.63,1.252
0.01,0.58,0.42315
0.52,1,1.6915
0.22,0.82,0.84338
0.44,0.25,2.8712
0.47,0.93,1.6299
0.94,0.71,8.2511
0.65,0.76,3.3163
0.38,0.55,1.8255
0.27,0.19,2.0295
0.61,0.04,5.9396
0.48,0.56,2.4848
0.94,0.46,10.65
0.72,0.71,4.2089
0.11,0.25,1.0876
0.79,0.26,8.3549
0.98,0.08,17.515
0.58,0.47,3.5942
0.81,0.38,7.7724
0.39,0.03,3.051
0.14,0.84,0.60321
0.59,0.11,5.2827
0,0.2,0.83929
0.18,0.18,1.5246
0.51,0.46,2.823
0,0.08,0.88028
0.81,1,4.1816
0.06,0.32,0.81817
0.36,0.17,2.5164
0.96,0.21,14.515
0.12,0.83,0.5704
0.62,0.66,3.3467
0.03,0.95,0.47352
0.71,0.8,3.7826
0.49,0.92,1.7095
0.42,0.17,2.9614
0.39,0.63,1.7582
0.35,0.37,1.9692
0,1,0.39379
0.02,0.91,0.41946
0.13,0.36,1.1044
0.72,0.46,5.4734
0.59,0.17,4.9735
0.36,0.1,2.7956
0.39,0.95,1.1923
0.36,0.72,1.4084
0.95,0.46,10.881
0.33,0.56,1.5036
0.83,0.51,7.2454
0.24,0.62,1.0953
0.31,0.71,1.2795
0.46,0.08,3.6932
0.2,0.62,0.89316
0.16,0.86,0.67735
0.12,0.5,0.86381
0.74,0.93,3.6017
0.75,0.83,4.0805
0.21,0.29,1.517
0.46,0.73,1.9726
0.58,0.1,5.0849
1,0.24,15.778
0.5,0.72,2.2247
0.25,0.94,0.81408
0.72,0.03,8.425
0.41,0.52,2.0701
0.73,0.22,7.0675
0.51,0.79,2.1443
0.31,0.15,2.1209
0.28,0.1,2.0907
0.13,0.8,0.56485
0.16,0.29,1.1462
0.9,0.98,5.4674
0.97,0.14,15.905
0.3,0.76,1.1943
0.26,0.63,1.2116
0.55,0.6,2.8315
0.97,0.04,17.682
0.02,0.27,0.79467
0.82,0.39,7.7796
0.92,0.53,9.2211
0.77,0.41,6.6054
0.47,0.71,2.0255
0.82,0.84,5.0253
0.03,0.5,0.61882
0.94,0.92,6.7092
0.08,0.68,0.75179
0.63,0.84,2.8546
0.85,0.45,8.0053
0.26,0.85,0.9522
0.18,0.61,0.95545
0.09,0.4,0.85882
0.36,0.87,1.1669
0.06,0.99,0.51696
0.44,0.74,1.7462
0.35,0.53,1.599
0.65,0.15,6.0957
0.41,0.93,1.3725
0.44,0.42,2.4967
0.7,0.93,3.2048
0.95,0.73,8.3596
0.36,0.97,1.1893
0.81,0.39,7.6225
0.7,0.34,5.7119
0.68,0.33,5.4545
0.24,0.36,1.4775
0.03,0.77,0.55239
0,0.47,0.60655
0.22,0.77,0.87033
0.7,0.15,7.0136
1,0.29,14.93
0.5,0.64,2.4693
0.7,0.75,3.8004
0.71,0.66,4.428
0.74,0.47,5.8532
0.64,0.93,2.743
0.66,0.74,3.4295
0.8,0.38,7.5333
0.35,0.61,1.5482
0.1,0.96,0.53235
0.91,0.51,9.1712
0.19,0.78,0.75753
0.13,0.01,1.4207
0.38,0.74,1.469
0.39,0.96,1.2518
0.78,0.47,6.5209
0.65,0.74,3.378
0.58,0.76,2.5713
0.47,0.29,3.1286
0.08,0.61,0.69595
0.66,0.3,5.4303
0.44,0.96,1.4839
0.78,0.08,9.5866
0.67,0.23,5.9872
0.67,0.57,4.2822
0.59,0.44,3.6309
0.6,0.92,2.4993
0.12,0.72,0.69202
0.45,0.69,1.9261
0.45,0.73,1.9002
1,0.74,9.6733
0.44,0.55,2.2323
0.76,0.01,9.644
0.86,0.52,7.7819
0.65,0.54,4.0666
0.36,0.6,1.5949
0.24,0.88,0.9089
0.81,0.97,4.3555
0.51,0.85,1.9892
0.31,0.3,2.0251
0.68,0.7,3.7587
0.07,0.84,0.55694
0.65,0.6,3.768
0.12,0.98,0.49203
0.87,0.62,7.2545
0.22,0.47,1.2757
0.86,0.84,5.7473
0.1,0.63,0.79019
0.27,0.77,0.97584
0.58,0.07,5.3235
0.73,0.79,4.0094
0.15,0.34,1.0908
0.75,0.2,7.8552
0.01,0.54,0.57472
0.93,0.34,11.614
0.7,0.67,4.1725
0.26,0.8,1.0603
0.91,0.94,5.9143
0.9,0.22,11.976
0,0.39,0.64219
0.21,0.69,0.94417
0.2,0.49,1.0675
0.94,0.23,13.279
0.56,0.18,4.4997
0.4,0.96,1.3302
0.57,0.66,2.9475
0.35,0.72,1.3131
0.32,0.17,2.2412
0.91,0.42,10.124
0.77,0.11,8.8722
0.91,0.52,9.1682
0.13,0.05,1.4389
0.21,0.96,0.72702
0.03,0.45,0.68031
0.73,0.95,3.4445
0.16,0.69,0.83018
0.95,0.15,14.962
0.21,0.88,0.83289
0.21,0.34,1.2758
0.11,0.66,0.73411
0.73,0.76,4.2248
0.57,0.04,5.3498
0.56,0.97,2.0638
