0.109,1.3716
0.044,1.0582
0.673,3.1958
0.19,1.8632
0.954,1.1041
0.545,4.0107
0.998,1.0083
0.394,3.6892
0.864,1.5818
0.466,3.9322
0.653,3.3592
0.324,3.1158
0.165,1.7503
0.627,3.5381
0.417,3.8352
0.933,1.1311
0.936,1.0502
0.164,1.6116
0.117,1.3803
0.704,2.9175
0.132,1.4695
0.618,3.6176
0.808,1.9582
0.32,3.1997
0.82,1.9659
0.347,3.304
0.801,2.0536
0.847,1.6737
0.555,3.913
0.625,3.5575
0.807,1.9905
0.523,4.0695
0.651,3.2755
0.093,1.2349
0.492,3.9366
0.724,2.6707
0.472,4.0503
0.855,1.5736
0.476,4.0022
0.082,1.2008
0.369,3.4919
0.941,1.14
0.86,1.5743
0.733,2.7378
0.151,1.6433
0.945,1.0748
0.289,2.8881
0.54,3.8668
0.133,1.457
0.338,3.2196
0.862,1.6242
0.326,3.2877
0.136,1.5534
0.4,3.6908
0.402,3.833
0.502,3.9317
0.148,1.6692
0.813,1.8466
0.48,4.0364
0.425,3.7804
0.582,3.8679
0.076,1.2535
0.469,3.9316
0.851,1.6412
0.615,3.62
0.743,2.5223
0.964,1.0114
0.816,1.8576
0.592,3.7198
0.576,3.7885
0.643,3.4863
0.037,1.1437
0.429,3.7385
0.73,2.5604
0.434,3.8183
0.962,1.0163
0.377,3.6322
0.575,3.8425
0.213,2.1866
0.752,2.4816
0.72,2.7875
0.55,3.8478
0.943,1.0216
0.017,1.0667
0.667,3.1567
0.21,2.0309
0.969,0.98626
0.598,3.8804
0.259,2.6696
0.154,1.6364
0.239,2.4516
0.874,1.5054
0.614,3.6326
0.366,3.5251
0.293,2.9445
0.395,3.7392
0.817,1.8847
0.895,1.3043
0.57,3.8699
0.163,1.6612
0.087,1.2037
0.077,1.2894
0.927,1.1108
0.53,3.9701
0.383,3.6415
0.112,1.3017
0.195,2.003
0.85,1.6289
0.547,3.81
0.754,2.4964
0.558,3.9026
0.974,0.95335
0.958,1.0907
0.033,1.0589
0.538,3.8979
0.579,3.8901
0.413,3.8419
0.919,1.1495
0.356,3.3508
0.027,0.97295
0.203,2.0672
0.527,3.8823
0.852,1.5794
0.96,0.98688
0.226,2.235
0.065,1.1281
0.399,3.5825
0.797,1.9984
0.762,2.2947
0.61,3.5891
0.784,2.2791
0.602,3.6827
0.329,3.2547
0.518,4.0992
0.729,2.676
0.277,2.8323
0.176,1.7678
0.996,0.94838
0.64,3.4927
0.832,1.6921
0.728,2.681
0.973,0.91818
0.153,1.6809
0.189,1.9769
0.348,3.358
0.584,3.8085
0.422,3.7778
0.947,1.2038
0.521,4.0195
0.026,1.0248
0.818,1.9081
0.51,3.9803
0.137,1.5136
0.721,2.7468
0.687,3.1354
0.514,3.9407
0.184,1.9382
